feature,ticket_id,epic,description,user_story,acceptance_criteria,priority,horizon,type,status,source_documents
Reliability metrics dashboard,GRAN-049,Reliability & Evaluation,"Track accuracy, hallucination rate, latency p95, drift velocity, eval pass rate, and confidence distribution.","As a product leader, I want a reliability dashboard so I can see whether the product meets its trust contract.","Dashboard includes accuracy, hallucination rate, p95 latency, drift velocity, eval pass rate, and confidence bucket trends; metrics are filterable by model, template, meeting type, and release; alert thresholds are configurable; data is exportable.",P0,Now (0-3 months),Analytics / Observability,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/06-the-pitch/ai-evaluation.md
Hallucination and grounding detector,GRAN-050,Reliability & Evaluation,"Detect generated claims, commitments, decisions, or action items that lack source support.","As a reviewer, I want unsupported claims flagged so I do not share inaccurate meeting notes.",Detector checks outputs for source support; unsupported claims are highlighted; unsupported external commitments trigger approval/escalation; grounding score contributes to confidence; false positive/negative examples feed evals.,P0,Now (0-3 months),AI Safety / Reliability,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md
Latency p95 instrumentation,GRAN-051,Reliability & Evaluation,"Instrument end-to-end and per-stage latency for transcription, triage, frontier generation, search, export, and external tool drafts.","As an engineer, I want latency telemetry so we can protect user experience and cost as workflows scale.",Each pipeline stage emits latency metrics; dashboard shows p50/p95/p99 by feature/model; alert thresholds can be configured; slow requests include trace IDs; latency regressions can block release.,P1,Now (0-3 months),Observability,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve.md
Drift velocity monitor,GRAN-052,Reliability & Evaluation,"Detect quality shifts after model, prompt, template, or provider changes.","As the AI team, I want drift monitoring so changes in model behavior are caught before users lose trust.",Eval scores are compared by release/version; drift alerts fire on threshold breach; dashboard highlights affected templates and models; rollback candidate is identified; drift events are logged in release notes.,P1,Next (3-9 months),AI Eval,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/02-the-moat/kill-switch.md
Confidence scoring pipeline,GRAN-053,Reliability UX,"Assign confidence levels to generated notes, sentences, decisions, action items, and external workflow drafts.","As a user, I want confidence shown at the right level so I know what needs review before acting.","Confidence is computed using transcript match, shorthand support, model score, source support, and risk category; confidence attaches to sections and sentences; thresholds align to UX buckets; confidence is stored for audit and analytics.",P0,Now (0-3 months),AI Platform,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Tiered confidence highlighting,GRAN-054,Reliability UX,"Display confidence UX with auto-published, synced, verify-details, and low-audio-match states.","As a user, I want uncertainty shown inline so I can focus review effort where it matters.",High confidence uses green auto/synced state; uncertain content uses amber underline and verify badge; low confidence uses red warning box; users can toggle all AI-generated text; low confidence blocks external export until edited or rerun.,P0,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md
Low-confidence export blocker,GRAN-055,Reliability UX,Block external exports or writes when confidence is too low or source support is missing.,"As an enterprise user, I want risky outputs blocked before export so inaccurate content does not leave Granola.",Content below configured threshold is blocked from export/write; user sees reason and source gaps; user can edit or rerun to resolve; override behavior follows admin policy; blocked event is audited.,P0,Now (0-3 months),AI Safety / Governance,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/04-the-contract/golden-dataset.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Capture consent and participant notice flow,GRAN-056,Governance & Security,"Require visible user intent and support participant notice/consent before capture, recording, or summarization.","As an enterprise admin, I want recording notice and consent controls so the product complies with regional and company rules.",Capture cannot auto-start; notice/consent options are configurable by tenant; consent state is stored with meeting record; missing consent can block capture/export; regional policy copy can be configured.,P0,Now (0-3 months),Governance,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/README.md
Sensitive-content detection,GRAN-057,Governance & Security,"Detect legal, HR, medical, financial, security, incident, acquisition, board, compensation, and customer-confidential content.","As a user, I want sensitive topics flagged before sharing so I avoid exposing regulated or confidential material.",Classifier flags sensitive categories; flagged content requires review before sharing/export; flags appear in note and review inbox; admin can configure category policy; false positives/negatives can be reported.,P0,Now (0-3 months),AI Safety / Governance,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/shadow-ai-audit.md
Permission-grounded Q&A,GRAN-058,Governance & Security,"Ensure memory answers are restricted to meetings, folders, and notes the user is authorized to access.","As an admin, I want Q&A grounded in permissions so private notes and folders are not exposed through AI search.",Retriever enforces permission filters before generation; answer citations only include accessible sources; failed access attempts are audited; cross-folder/team/customer access follows policy; unauthorized content never appears in prompt or output.,P0,Now (0-3 months),Security / Governance,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
External sharing approval gate,GRAN-059,Governance & Security,"Require human approval before notes are shared with another person, team, customer, or external domain.","As a user, I want Granola to require approval before sharing so private meeting content is not exposed accidentally.",Share action opens approval preview; external domain is detected; sensitive/confidence flags are visible; user must explicitly approve; approval is logged; tenant policy can disable external share entirely.,P0,Now (0-3 months),Governance,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
External write/send approval gate,GRAN-060,Governance & Security,"Require human approval before sending emails/messages or creating/updating CRM, support, project, or customer-facing records.","As an enterprise admin, I want all external writes approved so AI cannot alter systems or send messages without intent.",Send/write actions require approval; preview includes payload and destination; high-risk actions are blocked or escalated; approved action records audit trail; system never sends as the user automatically.,P0,Now (0-3 months),Governance,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Escalation trigger engine,GRAN-061,Governance & Security,"Route content or actions to review when confidence drops below 70%, source support is missing, sensitive topics appear, or permissions fail.","As a user, I want risky outputs routed to review so I can trust what the system is allowed to do automatically.","Engine evaluates confidence, source support, sensitivity, action type, recipient domain, permission status, and disputed content; trigger reason is visible; triggered items enter review inbox; policy thresholds are configurable; all escalations are audited.",P0,Now (0-3 months),AI Safety / Governance,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Audit log for AI actions,GRAN-062,Governance & Security,"Log permission checks, sharing events, external tool calls, export attempts, failed access attempts, blocked actions, approvals, and disputes.","As a security reviewer, I want an audit log so AI behavior and user approvals can be investigated.","Audit events include actor, action, destination, source note, confidence, policy decision, timestamp, and payload hash; logs are searchable; exports are available to admins; retention follows tenant policy; tamper evidence is supported.",P0,Now (0-3 months),Security / Observability,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Enterprise training opt-out and learning policy,GRAN-063,Governance & Security,"Allow tenants to configure whether customer content can be used for durable personalization, team memory, or model-improvement loops.","As an enterprise admin, I want learning controls so customer content is used only under contract and policy.",Admin can configure training/personalization opt-out; policy is enforced in telemetry and eval pipeline; user-facing settings explain current behavior; policy changes are audited; default is private/no training unless explicitly permitted.,P0,Now (0-3 months),Governance,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve.md
Data retention and explicit delete controls,GRAN-064,Governance & Security,"Give users/admins explicit control over retention, deletion, merging, and permanent alteration of meeting records.","As a privacy-sensitive customer, I want explicit deletion controls so AI cannot permanently alter records without my action.",Meeting records show retention status; users/admins can delete according to policy; AI cannot delete/merge/alter records automatically; destructive actions require explicit confirmation; deletion events are audited.,P1,Next (3-9 months),Governance,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Redaction before external share,GRAN-065,Governance & Security,Provide manual and AI-assisted redaction for sensitive details before notes or recaps leave Granola.,"As a user, I want to redact sensitive details before sharing so external recipients get only appropriate content.",Sensitive spans are suggested for redaction; user can apply/undo redactions; redacted output is previewed; source note remains unchanged unless user chooses; redaction status is recorded in audit trail.,P0,Now (0-3 months),Feature,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/shadow-ai-audit.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
HR/performance summary blocklist and monitor,GRAN-066,Governance & Security,"Do not build HR/performance-summary workflows until stronger governance, consent, and enterprise admin controls exist; monitor attempted usage.","As an admin, I want risky HR/performance use cases blocked or monitored so the product does not create regulatory exposure.",System detects HR/performance-summary requests; unsupported use is blocked or routed to policy message; attempted use is counted without exposing content unnecessarily; admin policy can define handling; quarterly audit reviews demand.,P2,Monitor,Governance,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/shadow-ai-audit.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Commitment and regulated-advice blocker,GRAN-067,Governance & Security,"Prevent AI from making pricing, legal, HR, medical, financial, security, contractual, or policy commitments.","As an enterprise user, I want Granola to block commitments it cannot make so drafts do not create legal or business risk.",System detects commitment verbs and regulated domains; drafts are blocked or rewritten as non-committal suggestions; user sees rationale; external sending requires approval; blocked attempts are audited.,P0,Now (0-3 months),AI Safety / Governance,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Usage metering by meeting hours and workflow actions,GRAN-068,"Cost, Pricing & Model Operations","Meter processed meeting hours, AI requests, frontier-model calls, CRM updates, and downstream workflow actions.","As the business owner, I want usage metering so pricing and cost controls match actual AI workload.","Metering captures processed minutes/hours, meeting count, AI requests, model tier, external workflow actions, and CRM update events; data is tenant/user scoped; billing export is available; metering is resilient to retry duplication.",P0,Now (0-3 months),Billing / Platform,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve2.md
Fair-use cap and upgrade trigger,GRAN-069,"Cost, Pricing & Model Operations",Apply a soft cap on baseline meeting processing and transition heavy users to enterprise or usage-based pricing.,"As a business owner, I want fair-use controls so heavy usage does not destroy gross margin.",Admin can set baseline cap by meeting count or hours; users receive in-product warnings; overage or upgrade path is shown; cap enforcement does not lose data; cap metrics are available for support and billing.,P1,Next (3-9 months),Billing / Growth,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve2.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/06-the-pitch/ai-evaluation.md
Model cascading router,GRAN-070,"Cost, Pricing & Model Operations","Route simple, medium, and complex generation tasks across cheap/local, mid-tier, and frontier models to preserve quality and margin.","As an engineer, I want model cascading so routine work is cheap and high-value synthesis gets the right model.",Router classifies task complexity; simple cleanup uses triage model; complex synthesis/search can use frontier model; route decision is logged; quality and cost metrics are compared by route; fallback path exists for failed route.,P0,Now (0-3 months),AI Platform,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve2.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/06-the-pitch/ai-evaluation.md
Semantic compression layer,GRAN-071,"Cost, Pricing & Model Operations",Compress raw transcript and meeting context before frontier-model calls to reduce token usage while preserving high-value signal.,"As an engineer, I want semantic compression so frontier-model prompts stay efficient and accurate.","Compression extracts decisions, action items, shorthand anchors, entities, and unresolved questions; compression quality is evaluated; compressed payload includes source references; token savings are measured; system can fall back to full context when needed.",P1,Next (3-9 months),AI Platform,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve.md
On-device basic cleanup model,GRAN-072,"Cost, Pricing & Model Operations",Run baseline text cleanup or transcription-adjacent preprocessing locally where feasible to reduce API cost and vendor dependency.,"As a business owner, I want local processing for routine cleanup so margins survive provider cost increases.",Local model handles basic cleanup tasks; system falls back safely when local processing fails; local processing quality is eval-tested; token/API savings are measured; user privacy messaging explains local processing.,P2,Bet (9-18 months),AI Platform,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/02-the-moat/kill-switch.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve2.md
Unified model provider abstraction,GRAN-073,"Cost, Pricing & Model Operations","Separate application logic from OpenAI, Anthropic, and other provider-specific prompt/window behaviors.","As an engineer, I want a provider abstraction so we can switch models without rewriting product logic.","Provider interface supports generation, embeddings/search if needed, cost metadata, retries, and error handling; prompts are provider-normalized; eval suite runs across providers; releases can switch provider behind feature flag; no feature depends directly on a provider-specific API shape.",P0,Now (0-3 months),AI Platform,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/02-the-moat/kill-switch.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/06-the-pitch/ai-evaluation.md
Provider failover and cost balancing,GRAN-074,"Cost, Pricing & Model Operations",Route around provider outages or price shocks using backup engines and real-time cost balancing.,"As an operator, I want failover and cost balancing so model outages or price increases do not disrupt the product.",At least one backup provider is configured; traffic can fail over automatically or by feature flag; cost limits can steer route choices; failover quality is eval-tested; provider incidents are visible in observability.,P0,Now (0-3 months),AI Platform,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/02-the-moat/kill-switch.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve2.md
Provider cost monitor,GRAN-075,"Cost, Pricing & Model Operations","Track AI COGS by user, tenant, feature, model, meeting, and workflow action.","As a product/business owner, I want cost visibility so pricing, routing, and caps can be adjusted before margin erodes.","Dashboard shows AI COGS per user/month, per meeting, per model tier, per feature, and per tenant; alerts fire on anomalous usage; data ties to pricing caps and billing; support can diagnose high-cost users.",P1,Next (3-9 months),Analytics / Observability,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve2.md
Outcome-based CRM update billing event,GRAN-076,"Cost, Pricing & Model Operations",Emit a billable event when approved CRM field updates are completed.,"As the business owner, I want CRM update events tracked so outcome-based pricing can be charged accurately.","Approved CRM writes emit billable event; duplicate retries are deduplicated; event includes tenant, destination, record type, timestamp, and success/failure; customer-visible usage report is available; disputed events can be reconciled.",P1,Next (3-9 months),Billing / Platform,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Enterprise admin console,GRAN-077,Enterprise Administration,"Centralize tenant policies for consent, retention, training opt-out, external sharing, integration scopes, caps, and audit exports.","As an enterprise admin, I want one console to configure Granola policies across users and teams.","Admin can configure consent, retention, learning, integrations, external share, write approval, usage caps, and audit export settings; settings are versioned; changes are audited; default policies are safe and private.",P1,Next (3-9 months),Admin / Governance,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve.md
SSO and organization management,GRAN-078,Enterprise Administration,"Support enterprise organization controls such as SSO, user management, role-based access, and workspace/team policies.","As an enterprise admin, I want organization management controls so Granola can be deployed safely across teams.",SSO can be configured; users can be assigned roles; team/workspace permissions govern note access; admin can disable users; organization settings apply to new users by default.,P2,Next (3-9 months),Admin / Security,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/03-the-margin/cost-curve.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/05-the-guardrails/governance-policy.md
Modern prototype shell and onboarding,GRAN-079,Product UX,"Deliver a polished app shell with clear value proposition, main input area, suggested prompts, recent activity, and responsive desktop/mobile behavior.","As a new user, I want to understand the AI workflow in the first minute so I know how to capture, enhance, and act on meeting notes.","First screen shows value proposition, meeting capture/input area, suggested prompts/recipes, and recent activity; UI supports desktop and mobile responsive layouts; loading/thinking states are visible; dark/light mode is supported.",P1,Now (0-3 months),UX / Frontend,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/01-the-bet/prototype%20prompt%20-%20template.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/01-the-bet/prototype%20simple%20prompt%20template.md
Two-week PM cohort trial instrumentation,GRAN-080,Product Validation,Instrument a prototype trial to validate whether PMs want shorthand-to-document translation and whether raw audio converts to shared artifacts.,"As the product team, I want behavioral validation data so we know whether the core bet is real before scaling engineering investment.","Trial tracks activation, meetings captured, shorthand usage, Enhance usage, artifact generation, artifact shares/exports, retention, and qualitative feedback; dashboard reports cohort conversion; results inform kill/continue decision.",P0,Now (0-3 months),Experiment / Analytics,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/06-the-pitch/ai-evaluation.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/01-the-bet/prototype.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/README.md
Native OS audio layer technical assessment,GRAN-081,Strategy & Roadmap,Assess Apple and Microsoft native audio/transcription APIs to determine whether Granola should build on top of OS capture rather than compete with it.,"As the product team, I want a technical assessment of OS capture APIs so we can reduce platform commoditization risk.","Assessment covers macOS, Windows, Teams, and browser capture feasibility; risks to current capture architecture are documented; build-vs-partner recommendation is produced; roadmap implications are added to the product backlog.",P0,Now (0-3 months),Technical Spike,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/01-the-bet/diagnostic.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/02-the-moat/data-flywheel.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/06-the-pitch/ai-evaluation.md
Formal three-horizon roadmap population,GRAN-082,Strategy & Roadmap,"Fill the empty roadmap with prioritized initiatives, metrics, and confidence for now, next, and bet horizons.","As a product leader, I want a populated three-horizon roadmap so engineering and stakeholders share the same execution sequence.","Roadmap lists initiatives for 0-3, 3-9, and 9-18 months; each initiative has target metric and confidence; dependencies and risks are documented; board narrative aligns with backlog epics; roadmap is reviewed after product validation results.",P1,Now (0-3 months),Planning,Backlog,https://github.com/cugarguy/ps-ai-strategy-project/blob/main/06-the-pitch/roadmap.md; https://github.com/cugarguy/ps-ai-strategy-project/blob/main/06-the-pitch/ai-evaluation.md
